"Referral %1","الإحالة %1"
"You've earned %1 for Facebook Like!","لقد حصلت على %1 لإعجابك علي الفيسبوك"
"You've earned %1 for Facebook Share!","لقد حصلت على %1 لمشاركة فيسبوك!"
"Facebook Like Points has been canceled","تم إلغاء نقاط إعجاب الفيسبوك"
"You've earned %1 for Pin!","لقد حصلت على %1 للتثبيت"
"You've earned %1 for Tweet!","لقد حصلت على %1 للتغريدة!"
"Login to earn %1 for sharing!","تسجيل الدخول لكسب %1 للمشاركة!"
"Earn %1 for sharing!","كسب %1 للمشاركة!"
"Like this page and earn %1","الإعجاب بهذه الصفحة وكسب %1"
"Share","مشاركه"
"Share this page and earn %1","مشاركة هذه الصفحة وكسب %1"
"Pin this page and earn %1","تثبيت هذه الصفحة وكسب %1"
"Refer Friends","اشير الأصدقاء"
"Refer friend and earn %1. More friends more points!","إحالة صديق والحصول على %1. المزيد من الأصدقاء تعني المزيد من النقاط!"
"Tweet","سقسق"
"Tweet this page and earn %1","تغريد هذه الصفحة وكسب %1"
"Check this out!","تحقق من هذا!"
"Share with Friends","مشاركة مع الأصدقاء"
"Share the referral link in the social media and get points!","مشاركة رابط الإحالة في وسائل التواصل الاجتماعي والحصول على نقاط!"
"Tweet on Twitter","تغريدة على تويتر"
"Your referral link:","رابط الإحالة الخاص بك:"
"Send Invitations","إرسال دعوات"
"Enter contacts of your friends to invite them.","أدخل جهات اتصال أصدقائك لدعوتهم."
"Name","اسم"
"Email","البريد الإلكتروني"
"Message","رساله"
"Referrals","الاحالات"
"Status","حالة"
"Points","نقاط"
"Anonymous visitor","زائر مجهول"
"There are no Referrals","لا توجد إحالات"
