"Rewards Discount","خصم المكافآت"
"Rewards error occurred on the server. Please try to place the order again.","حدث خطأ المكافآت على الخادم. الرجاء محاولة وضع الأمر مرة أخرى."
"You earned %1 and spent %2 for this order.","لقد حصلت على %1 وقضيت %2 لهذا الأمر."
"You spent %1 for this order.","لقد أنفقت %1 لهذا الأمر."
"You earned %1 for this order.","لقد حصلت على %1 لهذا الأمر."
"Earned points will be enrolled to your account after we finish processing your order.","سيتم تسجيل النقاط المكتسبة في حسابك بعد الانتهاء من معالجة طلبك."
"Rewards discount","خصم المكافآت"
"You have <b>%1</b> available.","لديك <b>%1</b> متوفر."
"Enter amount of points to spend:","أدخل مقدار النقاط التي يجب إنفاقها:"
"Use maximum %1","استخدام الحد الأقصى لـ %1"
"Apply Points","تطبيق النقاط"
"Apply","تطبيق"
"Cancel Points","إلغاء النقاط"
"Cancel","إلغاء "
"Use %1","استخدام %1"
"Checkout now and earn <b class=""message-earn-points-label"">%1</b> for this order.","الخروج الآن وكسب < b فئة =""رسالة كسب نقاط التسمية"">%1</b> لهذا الأمر."
"Applies only to registered customers, may vary when logged in.","ينطبق فقط على العملاء المسجلين، قد تختلف عند تسجيل الدخول."
"You Earn","انت تكسب"
"You Spend","أنت تنفق"
"Discount amount","مبلغ الخصم"
"Use Reward Points","استخدام نقاط المكافأة"
"This is a required field","هذا حقل مطلوب"
"You have","أنت لديك"
"available.","متاح."
"Use maximum","استخدام الحد الأقصى"
"Enter amount of points to spend","إدخال مقدار النقاط للإنفاق"
"Use","استخدام"
