Reward Points,نقاط المكافأة
Rewards Information,معلومات المكافآت
Available Points Balance,رصيد النقاط المتوفرة
Change Balance,تغيير الرصيد
Enter positive or negative number of points. E.g. 10 or -10,أدخل عدد النقاط الموجب أو السالب. على سبيل المثال 10 أو -10
Message in the rewards history,رسالة في سجل المكافآت
Customer will see this in his account,سوف يرى العميل هذا في حسابه
No Records Found,لم يتم العثور على سجلات
ID,معرف
Balance Change,تغيير الرصيد
Comment,التعليق
Created At,تم الإنشاء عند
Expires At,تنتهي عند
Apply the rule only to cart items matching the following conditions (leave blank for all items),تطبيق القاعدة فقط على عناصر العربة المطابقة للشروط التالية (اترك مساحة لجميع الأصناف)
Apply To,تنطبق على
Apply the rule only if the following conditions are met (leave blank for all products),تطبيق القاعدة فقط إذا تم استيفاء الشروط التالية (اترك مساحة لكافة المنتجات)
Conditions,الظروف
Earning Rules,قواعد الكسب
Spending Rules,قواعد الإنفاق
Notification Rules,قواعد الإعلام
Tiers,مستويات
Transactions,المعاملات
Customer Referrals,إحالات العملاء
Reports,التقارير
Refresh Statistics,تحديث الإحصائيات
Settings,اعدادات
Save,حفظ
Delete,حذف
Save And Continue Edit,حفظ ومتابعة التحرير
Edit Referral '%1',تحرير الإحالة '%1'
Create New Referral,إنشاء مرجع جديد
%1 %2 Refunded,1% 2% مسترد
%1 %2 Spent,1%2% تم إنفاقه
%1 Earned,%1 تم كسبه
%1 Spent,%1 تم إنفاقه
'%1 Earned' .,'%1 تم الحصول عليه .
Customer Name,اسم العميل
Customer Email,البريد الإلكتروني للعميل
Customer Group,مجموعة العملاء
Action,العمل
Code,التعليمات البرمجية
Is expired,انتهت مدة صلاحيتها
Is sent,يتم إرسال
Amount Used,المبلغ المستخدم
New Earning Rule,قاعدة الأرباح الجديدة
Earning Rule was successfully deleted,تم حذف قاعدة الكسب بنجاح
Edit Earning Rule '%1',تحرير قاعدة الأرباح '%1'
The Earning Rule does not exist.,قاعدة الكسب غير موجودة.
Total of %1 record(s) were successfully updated,تم تحديث إجمالي سجل (1) سجل (1) بنجاح
Please select Earning Rule(s),الرجاء تحديد قاعدة (قواعد) الأرباح
Total of %1 record(s) were successfully deleted,تم حذف إجمالي سجل (1) سجل (1) بنجاح
Earning Rule was successfully saved,تم حفظ قاعدة الكسب بنجاح
Unable to find Earning Rule to save,غير قادر على العثور على قاعدة الكسب لحفظ
Number of Points (X),عدد النقاط (X)
Quantity Step (Z),كمية الخطوة (Z)
Step (Y),الخطوة (Y)
"Field ""%1"" should be valid number, i.e. 5 or 7.5","يجب أن يكون الحقل ""%1"" رقم صالح، أي 5 أو 7.5"
"Field ""%1"" should be valid number and percent should be equal or less then 100","يجب أن يكون الحقل ""%1"" رقم صحيح وينبغي أن تكون النسبة المئوية مساوية أو أقل ثم 100"
New Notification Rule,قاعدة إعلام جديدة
Notification Rule was successfully deleted,تم حذف قاعدة الإعلام بنجاح
Edit Notification Rule '%1',تحرير قاعدة الإعلام '%1'
The Notification Rule does not exist.,قاعدة الإعلام غير موجود.
Please select Notification Rule(s),الرجاء تحديد قاعدة الإشعارات
Notification Rule was successfully saved,تم حفظ قاعدة الإعلام بنجاح
Unable to find Notification Rule to save,تعذر العثور على قاعدة الإعلام لحفظها
Please select Referral(s),الرجاء اختيار الإحالة (ق)
Statistics was successfully updated,تم تحديث الإحصائيات بنجاح
Database error. Please contact developers.,خطأ في قاعدة البيانات. يرجى الاتصال بالمطورين.
Rewards,المكافات
You have not any statistic. Please refresh statistic.,ليس لديك أي إحصائية. الرجاء تحديث الإحصائيات.
New Spending Rule,قاعدة الإنفاق الجديدة
Spending Rule was successfully deleted,تم حذف قاعدة الإنفاق بنجاح
Edit Spending Rule '%1',تحرير قاعدة الإنفاق '%1'
The Spending Rule does not exist.,قاعدة الإنفاق غير موجودة.
Please select Spending Rule(s),الرجاء تحديد قاعدة الإنفاق (القواعد)
Spending Rule was successfully saved,تم حفظ قاعدة الإنفاق بنجاح
Unable to find Spending Rule to save,تعذر العثور على قاعدة الإنفاق للحفظ
Customer receive Y discount,العميل يحصل على خصم Y
Spend minimum,إنفاق الحد الأدنى
Spend maximum,إنفاق الحد الأقصى
New Tier,فئة جديدة
Tier was successfully deleted,تم حذف المستوى بنجاح
Edit Tier '%1',تحرير المستوى '%1'
The Tier does not exist.,المستوى غير موجود.
Please select Tier(s),الرجاء اختيار الطبقة (الطبقات)
Unable to find Tier to save,تعذر العثور على المستوى الذي تريد حفظه
New Transaction,حركة جديدة
Transaction was successfully deleted,تم حذف الحركة بنجاح
Total of %1 record(s) were successfully activated,تم تنشيط إجمالي سجل (1) سجل (1) بنجاح
Please select Transaction(s),الرجاء تحديد المعاملة (المعاملات)
Transaction was successfully saved,تم حفظ الحركة بنجاح
Unable to find Transaction to save,تعذر العثور على المعاملة التي تريد حفظها
Please specify a website.,يرجى تحديد موقع على شبكة الانترنت.
Please specify a customer email.,الرجاء تحديد بريد إلكتروني للعميل.
We found an invalid value in a website column.,وجدنا قيمة غير صالحة في عمود موقع ويب.
Please enter a valid email.,الرجاء إدخال بريد إلكتروني صالح.
"Please make sure attribute ""%1"" is not empty.","الرجاء التأكد من أن السمة ""%1"" غير فارغة."
We can't find a customer who matches this email and website code.,لا يمكننا العثور على عميل يطابق رمز البريد الإلكتروني هذا والموقع.
- Disable these emails -,- تعطيل هذه الرسائل الإلكترونية -
Apply to items,تطبيق على العناصر
Apply to totals,تطبيق على الإجماليات
Give X points to customer,إعطاء نقاط X للعميل
Give X points for every spent Y,إعطاء X نقاط لكل Y المستهلك
Give X points for every Z quantity,إعطاء نقاط X لكل كمية Z
